date,total,general,specific
2019/12,"1,059,286","13,650","1,045,636"
2020/01,"1,063,820","14,676","1,049,144"
2020/02,"1,135,331","17,340","1,117,991"
2020/03,"1,252,462","20,297","1,232,165"
2020/04,"1,263,148","19,874","1,243,274"
2020/05,"1,320,798","20,150","1,300,648"
2020/06,"1,253,440","19,877","1,233,563"
2020/07,"1,378,600","21,120","1,357,480"
2020/08,"1,676,687","25,959","1,650,728"
2020/09,"1,603,614","24,571","1,579,043"
2020/10,"1,546,338","23,909","1,522,429"
2020/11,"1,642,625","24,046","1,618,579"
2020/12,"2,197,375","30,535","2,166,840"
2021/01,"2,030,620","27,360","2,003,260"
2021/02,"1,824,078","24,010","1,800,068"
2021/03,"1,965,974","19,886","1,946,088"
2021/04,"1,975,909","17,847","1,958,062"
2021/05,"2,140,672","18,769","2,121,903"
2021/06,"1,971,954","15,812","1,956,142"
2021/07,"2,377,984","19,619","2,358,365"
2021/08,"2,418,806","18,588","2,400,218"
2021/09,"2,187,844","15,150","2,172,694"
2021/10,"2,263,884","15,732","2,248,152"
2021/11,"2,071,141","9,746","2,061,395"
2021/12,"2,449,469","13,350","2,436,119"
2022/01,"2,388,571","14,051","2,374,520"
2022/02,"2,244,240","11,704","2,232,536"
2022/03,"2,380,695","12,169","2,368,526"
