date,infected,accrue
2020/01,11,11
2020/02,"2,920","2,931"
2020/03,"6,855","9,786"
2020/04,979,"10,765"
2020/05,703,"11,468"
2020/06,"1,331","12,799"
2020/07,"1,506","14,305"
2020/08,"5,641","19,946"
2020/09,"3,865","23,811"
2020/10,"2,700","26,511"
2020/11,"7,688","34,199"
2020/12,"26,527","60,726"
2021/01,"17,471","78,197"
2021/02,"11,467","89,664"
2021/03,"13,415","103,079"
2021/04,"18,927","122,006"
2021/05,"18,331","140,337"
2021/06,"16,623","156,960"
2021/07,"41,374","198,334"
2021/08,"53,077","251,411"
2021/09,"59,858","311,269"
2021/10,"53,415","364,684"
2021/11,"82,517","447,201"
2021/12,"183,597","630,798"
2022/01,"214,835","845,633"
2022/02,"2,288,583","3,134,216"
2022/03,"9,960,670","13,094,886"
2022/04,"4,142,629","17,237,515"
2022/05,"830,154","18,067,669"
